name,city,state,star,address,bid,zip,review,thur,fri,wed,tue,mon,sat,sun
Wendy's,Chandler,AZ,2,1045 S Arizona Ave,t8VqC6vO_hLkxZlwC7Xdzg,85248,25,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-0:0
Starbucks,Pittsburg,PA,4.5,200 Lothrop St,WTv4tytSf7b_rdjyoFPDYw,15213,10,6:0-19:0,6:0-14:30,6:0-19:0,6:0-19:0,6:0-19:0,6:0-14:30,6:0-19:0
Hurts Donut,Tempe,AZ,4,2161 E University Dr,PgpO8RswM-xOitG4PBNo1w,85281,371,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Sharon James Winery,Geauga,OH,4,11303 Kinsman Rd,rpK_kvpIoz-j-V-Nmn83mg,44065,13,13:0-21:0,13:0-21:0,13:0-21:0,CLOSED,CLOSED,13:0-22:0,CLOSED
Grinders Coffee,Phoenix,AZ,4,"17 E Dunlap Ave, Ste 104",cMoAyO10kXgzNEGSnUUjCA,85020,120,7:0-12:0,6:0-18:0,6:0-18:0,6:0-18:0,7:0-14:0,7:0-14:0,7:0-14:0
Tilt Studio,Tempe,AZ,3,"Arizona Mills Mall, 5000 Arizona Mills Cir",0Oskle2GkyYMseuJ3TDwRA,85282,49,11:0-22:0,10:0-23:0,10:0-20:0,11:0-22:0,11:0-22:0,10:0-23:0,11:0-20:0
Einstein Bros Bagels,Scottsdale,AZ,2.5,2825 N Scottsdale Rd,NtfAbj7MSj5IOhAsGM0-5w,85257,70,5:0-16:0,5:0-16:0,5:0-16:0,5:0-16:0,5:0-16:0,6:0-16:0,6:0-15:0
Alexander's Pizza,Las Vegas,NV,3.5,5020 Broadbent Blvd,4aAf2nAr86lcDHzqWSaYuQ,89122,96,10:30-22:0,10:30-23:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-23:0,11:0-21:0
Panda Express,Phoenix,AZ,2.5,"3400 Sky Harbor Blvd, Terminal 4",ygKRVzf8aOwqh78pbuRBgg,85034,19,6:0-22:30,6:0-22:30,6:0-22:30,6:0-22:30,6:0-22:30,6:0-22:30,6:0-22:30
In-N-Out Burger,Las Vegas,NV,4,3882 Blue Diamond Rd,Kbbm6Vd5UdbP10dwjBghRw,89139,311,10:30-1:0,10:30-1:30,10:30-1:0,10:30-1:0,10:30-1:0,10:30-1:30,10:30-1:0
Jefe's Taco Shop,Las Vegas,NV,4.5,5700 Sky Pointe Dr,SUd3IyEN7n5OYEGyt_U5lg,89130,466,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,0:0-0:0,11:0-20:0,CLOSED
Wood Fired Flatbreads,Pittsburgh,PA,4.5,"625 Lowries Run Rd, Ste 200",G-GcMq-iVEENhjG3z1lZhA,15237,11,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
McDonald's,Sun Prairie,WI,1.5,505 A St,K9vNp74Ev9Am6VueAjCOAw,53590,13,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0
Chipotle Mexican Grill,Cuyahoga Falls,OH,2,2042 Portage Trl,HPngBhTmMOXbQI9Noppeaw,44223,30,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-23:0,10:45-23:0
King of Pops,Charlotte,NC,4.5,2500 Dunavant St,_lpqjZAseSvoDxPN-_JnzQ,28203,88,12:0-20:0,12:0-20:0,12:0-20:0,15:0-19:0,0:0-0:0,12:0-20:0,12:0-20:0
Sam's Club,Monroeville,PA,3,3621 Willian Penn Hwy.,BQ0KH9QdYM7Ebe1zWYD0YA,15146,15,7:0-20:30,7:0-20:30,7:0-20:30,7:0-20:30,7:0-20:30,7:0-20:30,10:0-18:0
Berry Beet Juice Bar,Phoenix,AZ,4.5,"4206 E Chandler Blvd, Ste 9",E91zEYEGcs497aYnQlh2yg,85048,48,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,0:0-0:0,8:0-17:0,8:0-17:0
Purple Penguin Snowcone Shack,Las Vegas,NV,4.5,10490 S Decatur Blvd,0FbFqMBLRGRRdZlGJeXjug,89141,30,12:0-20:0,12:0-21:0,12:0-20:0,12:0-20:0,12:0-20:0,12:0-21:0,12:0-20:0
Soho Sushi Burrito,Las Vegas,NV,4.5,"6040 W Badura Ave, Ste 150",eJPckkV1k7gn0V2awA1pzA,89118,225,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:0
Fresh Vibes,Rock Hill,SC,4.5,1675 Ebenezer Rd,qA2v6ZExyry9RC9u5tJT2g,29732,31,6:0-18:0,6:0-18:0,6:0-18:0,6:0-18:0,6:0-18:0,8:0-14:0,CLOSED
New York West Pastry & Bake Shop,Sun City,AZ,4,10101 Grand Ave,rIhu4bA2CmSicOSJmTpGug,85351,143,6:0-18:0,6:0-18:0,6:0-18:0,6:0-18:0,CLOSED,6:0-18:0,6:0-15:0
Subway,Scottsdale,AZ,2.5,34522 N Scottsdale Rd,wEWvo1-lnj5ZcItvLp2sDg,85262,12,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Subway,Las Vegas,NV,3,"6440 Sky Pointe Dr, Ste 140",AyKOSCyaPb7x8a9gqZ0z2A,89131,14,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Gateway Bar And Grill,Cleveland,OH,3,651 Huron Rd E,HYm_XUwKk_s-gCC0kdERDA,44115,35,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0
Wessen Int'l Kitchen,Tempe,AZ,4.5,1946 E University Dr,Y3awsAE8mFdCG8nwEXWF8w,85281,62,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,0:0-0:0,12:0-20:0,CLOSED
Chipotle Mexican Grill,Las Vegas,NV,3,"7340 Arroyo Crossing Pkyw, Ste 100",AUl6myFhTAbEqt0GMdKHiw,89118,163,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0
Walmart Supercenter,Phoenix,AZ,2,1607 W Bethany Home Rd,rUmJ5moQLQaWA2s99P2MEA,85015,142,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0
Starbucks,Concord,OH,3.5,7639 Crile Road,BTaxbEngh820AuCH7g2hYw,44077,14,5:0-22:0,5:0-22:0,5:0-22:0,5:0-22:0,5:0-22:0,5:0-22:0,5:0-22:0
7-Eleven,North Las Vegas,NV,4,2525 W Deer Springs Way,_zT3iHr0GCIBI99lVmcyJA,89084,13,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Jimmy John's,Phoenix,AZ,2.5,"11 W Washington St, Ste 175",v5IUggBPzXEF1MCB7QMRsQ,85003,67,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-16:0,CLOSED
Fired Up Taco Truck,Cleveland,OH,4,,ntkeyTQNc735Dr-yjGd_IQ,44106,38,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Candy's Kitchen,Phoenix,AZ,4.5,"13216 N 7th St, Ste 34",5qEMfUERdTcMk7aDwH3A_Q,85022,105,6:30-14:0,6:30-14:0,6:30-14:0,6:30-14:0,CLOSED,6:0-14:0,6:0-14:0
Subway,Las Vegas,NV,2.5,6530 S Decatur Blvd,IkmL3syVMj8zZxpL-7SYsw,89118,14,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,8:0-21:0,9:0-21:0
Rita's Italian Ice,Phoenix,AZ,4,4727 E Bell Rd,HbzO-ZpnoR1hkOaygZPKYA,85032,66,12:0-21:0,12:0-22:0,12:0-17:0,12:0-21:0,0:0-0:0,12:0-20:0,12:0-17:0
Sam's Club,Las Vegas,NV,3.5,1910 E. Serene,zvQIEpJUmLLmMMffNntHXQ,89123,125,7:0-20:30,7:0-20:30,7:0-20:30,7:0-20:30,7:0-20:30,7:0-20:30,10:0-18:0
Slices,Phoenix,AZ,3,21001 N Tatum Blvd,qDbVUkKMLtRqSDcKgLTx1A,85050,79,11:0-21:0,11:0-23:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-23:0,11:0-20:0
Rocky's Philly Cheese Steaks,Las Vegas,NV,2,7400 Las Vegas Blvd S,mYBM11YwgftyQJxYGkKnYQ,89123,17,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Fu Asian Kitchen,Las Vegas,NV,4,4455 Paradise Rd,6QUuDlLjNDQWFCbJ9--jsQ,89169,189,11:30-22:0,11:30-23:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-23:0,11:30-22:0
DS Sports Nutrition,Scottsdale,AZ,5,6969 E Shea Blvd,IeYEMn2c3tlhtol18n_Log,85254,31,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,10:0-18:0,CLOSED
Dunkin' Donuts,Cleveland,OH,2.5,5790 Mayfield Rd,wdYEC6DIO6O4d-ouB72x9g,44124,14,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Pickle Bill's Lobster House,Grand River,OH,3,101 River St,w6F502EKMyn3ONbGT2bQxw,44045,179,16:0-21:0,16:0-21:0,CLOSED,CLOSED,CLOSED,15:0-21:0,13:0-20:0
Albertsons,Peoria,AZ,3,8950 W Bell Rd,QiY_HMcR2fwp50roU2FIcQ,85382,14,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0
The Coffee Bean & Tea Leaf,Las Vegas,NV,3.5,"4300 Meadows Lane, #5527",oNlsiPYrawa9DxFO9TioYw,89107,10,8:0-21:0,8:0-21:0,8:0-21:0,8:0-21:0,8:0-21:0,8:0-21:0,8:0-18:0
Pokelab from Hawaii,Champaign,IL,3.5,605 S Sixth St,w7v0_gmsAtZRmn6dL1Fqgw,61820,24,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,0:0-0:0,11:0-21:0,11:0-21:0
Carl's Jr Restaurants,North Las Vegas,NV,2.5,3185 W Ann Rd,iO-BvLp2fu7AgSXG1PqcPg,89031,13,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Mitchell's Fish Market,Homestead,PA,3,185 W Waterfront Dr,3nR6JE3hD-D-Fhzr10_k7g,15120,177,11:0-22:0,11:0-23:0,11:0-22:0,11:0-22:0,11:0-22:0,11:30-0:0,11:0-22:0
Chili Man,Charlotte,NC,5,S Tryon,3C0bnFhjkgYP9mWORKg6cA,28202,156,11:0-14:30,11:0-14:30,11:0-14:30,11:0-14:30,CLOSED,CLOSED,CLOSED
Cafe Darak,Las Vegas,NV,4,"8665 W Flamingo Rd, Ste 105",2s2ww6WaulfOEI16s1uyDg,89147,335,15:0-0:0,15:0-0:0,15:0-0:0,15:0-0:0,0:0-0:0,12:0-0:0,10:0-22:0
Windsor Breads Bakery & Coffeehouse,Windsor,WI,5,4446 Windsor Rd,7e1rkqyJpXNAQfcFsOQRYw,53598,16,6:30-17:30,6:30-15:0,6:30-17:30,6:30-17:30,6:30-17:30,6:30-15:0,CLOSED
Hob Nobs,Phoenix,AZ,4,149 W McDowell Rd,wHq1efQVz17338k_aUOX3w,85003,307,7:0-21:0,7:0-0:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-0:0,7:0-21:0
Potbelly Sandwich Shop,Madison,WI,3,112 W Towne Mall,QJOr35t_jz9OPQ6IczMGJA,53719,13,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-18:0
Taco Bell,Avondale,AZ,3,1529 N Dysart Rd,9q8phddM1YWNKZVepKi6iQ,85323,10,7:0-1:0,7:0-2:0,7:0-1:0,7:0-1:0,7:0-1:0,7:0-2:0,7:0-1:0
McDonald's,Las Vegas,NV,1.5,3175 N Rancho,ktJJMphosVXddoLGG9xR4A,89130,19,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Hop Central Brewery and Taproom,Chandler,AZ,5,"5055 W Ray Rd, Ste 2",GnZ0VSACXC0J4Pg2mxTT1A,85226,36,14:0-22:0,14:0-0:0,14:0-22:0,14:0-22:0,14:0-22:0,14:0-0:0,12:0-20:0
KFC,Sun Prairie,WI,1.5,1070 Emerald Ter,ews1zoLozRjcTIQNthvPZg,53590,16,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0
Jack In the Box,Henderson,NV,2,5 S Gibson Rd,18sAHGZz-WCAFqmMNqscVw,89012,31,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,CLOSED
Subway,Las Vegas,NV,2.5,202 Fremont St,wFU96ah70juScw822O4Zpw,89101,10,7:0-2:0,7:0-3:0,7:0-2:0,7:0-2:0,7:0-2:0,7:0-3:0,7:0-2:0
Pop 'N Tea Bar,Phoenix,AZ,4.5,550 W McDowell Rd,F8lC8jHCykqPy0h2AJ9lnQ,85003,222,10:0-22:0,10:0-22:0,10:0-16:0,10:0-22:0,0:0-0:0,10:0-22:0,11:0-22:0
Panda Express,Henderson,NV,2.5,195 N Stephanie St,_blrEZQZ6et5QEUa-a2WLg,89012,61,10:0-22:30,10:0-22:30,10:0-22:30,10:0-22:30,10:0-22:30,10:0-22:30,11:0-21:30
In-N-Out Burger,Las Vegas,NV,4.5,9610 W Tropicana Ave,qG_WEgPa8MBo1dPUOkTMlw,89147,372,10:30-1:0,10:30-1:30,10:30-1:0,10:30-1:0,10:30-1:0,10:30-1:30,10:30-1:0
Cracker Barrel Old Country Store,Sheffield Village,OH,3.5,5205 Detroit Rd,-49WY_TEa9ZEcRk_GnuLog,44054,37,6:0-22:0,6:0-23:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-23:0,6:0-22:0
Dunkin' Donuts,Denver,NC,2,647 N Hwy 16,#NAME?,28037,15,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0
Walmart Supercenter,North Olmsted,OH,2.5,24801 Brookpark Rd,Ej7hnaDQ_ogZ-cjspRBowg,44070,25,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Bojangles,Harrisburg,NC,2.5,4850 Hwy 49 S,SvM1d4a5OrUIo_i3uzVRxw,28075,15,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Long John Silver's,Gilbert,AZ,1.5,2881 S Market St,8nuw6au-G4aYydLoXHwMCA,85296,19,10:30-22:0,10:30-23:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-23:0,10:30-22:0
IHOP,Phoenix,AZ,2.5,1230 N 51st Ave,JDIbJyTbvmUqCDRHjGcGIQ,85043,47,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Culver's,Champaign,IL,3.5,2302 S Neil St,0Tiq09V_kdMFPa1cL6I0AA,61820,22,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0
Carolina Beer Temple,Charlotte,NC,4.5,"2127 Ayrsley Town Blvd, Ste 10",ICqeMnKHCj1LDboz8nyWnQ,28273,32,12:0-23:0,12:0-0:0,12:0-23:0,12:0-22:0,16:0-22:0,12:0-0:0,12:0-21:0
Anthony's Prime Steak & Seafood,Henderson,NV,4,12300 Las Vegas Blvd S,XhUec_6-kgPy1_ZYUrzvPQ,89044,265,17:0-22:0,17:0-23:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-23:0,17:0-22:0
Chipotle Mexican Grill,Scottsdale,AZ,3.5,"4513 N Scottsdale Rd, Ste 108",426RL7G7oTyu-f8jFxVRJQ,85251,113,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0
Walgreens,Las Vegas,NV,2,6401 W Charleston Blvd,Ew5JT5TZYR1hjv2QGJq6VQ,89146,19,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0
Jack in the Box,Henderson,NV,2,1261 W Warm Springs Rd,WifBAENwZVGlwCMYchBG3g,89014,26,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Tokyo World,Henderson,NV,3.5,1300 W Sunset Rd,6YN0001PkSGlhBcMUqb8og,89014,23,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,11:0-18:0
The Zenith,Pittsburgh,PA,4,86 S 26th St,yPcAdikNrXEsfbHNBQUjkQ,15203,184,11:30-20:30,11:30-20:30,CLOSED,CLOSED,CLOSED,11:30-20:30,11:0-14:30
Curry n Cake,Charlotte,NC,3,"2015 E Arbors Dr, Ste 270",lO-IY5X36bLI8vnQR4O18A,28262,42,11:0-21:30,11:0-22:0,11:0-21:30,11:0-21:30,11:0-21:30,11:0-22:0,11:0-21:30
Circle K,Phoenix,AZ,1.5,2120 W Northern Ave,N3zUhzJGATxCFuHPcW4Oeg,85021,10,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Potbelly Sandwich Shop,Independence,OH,3,6901 Rockside Rd,_n5AlOfsTd0gKHAgCVsWAw,44131,33,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-20:0,11:0-20:0
Safeway,Phoenix,AZ,2.5,520 W Osborn Rd,XngwPRynytzSPJoVlawnjQ,85013,95,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0
West Side Bakery,Akron,OH,4,2303 W Market St,qBZuI7didMgfaGu5H0J7jw,44313,49,7:0-19:0,7:0-19:0,7:0-19:0,7:0-19:0,7:0-19:0,8:0-17:0,CLOSED
Z-Best BBQ,Pittsburgh,PA,4.5,1315 5th Ave,_PKa6Dj06Q2AHKGkpJ7GnA,15219,38,11:30-19:0,11:30-20:0,11:30-19:0,11:30-19:0,CLOSED,11:30-20:0,CLOSED
Supreme Lunch Break,Tempe,AZ,4,"455 S 48th St, Ste 110",XvBZBafJRvDi1HWbLggoKQ,85281,14,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,0:0-0:0,CLOSED,7:0-15:0
Rey Azteca,New Kensington,PA,4,100 Tarentum Bridge Rd,YbsnQgu_3OmNYsCMXegeHw,15068,75,11:0-21:0,11:0-22:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,12:0-20:0
Java Den At 1022,Madison,WI,4,"1022 W Johnson St, Ste 5",uwxj0XXWOvm8xdhZ-33Vlw,53715,11,7:0-17:0,7:0-17:0,7:0-17:0,7:0-17:0,7:0-17:0,CLOSED,CLOSED
Subway,Las Vegas,NV,2,1961 N Nellis Blvd,WlqxMI84U-Cku3Qs-tJUJQ,89115,11,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
QuikTrip,Phoenix,AZ,4.5,4011 E Greenway Rd,LTzyf22IWvaZOsx0FGISRw,85032,23,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Dunkin' Donuts,Charlotte,NC,2,5605 N Tryon St,za1ocYYyi5uKdQ0Q3M3BQQ,28213,24,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Fernando's Food,Champaign,IL,5,44 E Sprinfield,5lw5rrhFMz-liykUn8dGSw,61820,39,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-3:0,10:0-3:0
Aunt Abby's Confections,Scottsdale,AZ,4.5,"7116 E Mercer Ln, Ste 103",AGHtVGdsaeUxUIXCMLhDVA,85254,41,9:0-16:0,9:0-16:0,9:0-16:0,9:0-16:0,9:0-16:0,CLOSED,CLOSED
Panda Express,Gilbert,AZ,2.5,3765 S Gilbert Rd,Q_ZqXNa5I753FOkA28R82Q,85296,27,10:30-21:30,10:30-22:0,10:30-21:30,10:30-21:30,10:30-21:30,10:30-22:0,11:0-21:0
Starbucks,Tempe,AZ,3,"1537 W. Broadway Rd, Suite 107",4Qr01ALyMyV-ZwHrP2purg,85282,43,4:0-20:0,4:30-20:0,4:0-20:0,4:0-20:0,4:0-20:0,5:0-20:0,4:0-20:0
Nova's Bakery,Charlotte,NC,3,1511 Central Ave,vodVvMALuQPScQJpLhfcyg,28205,117,6:30-20:30,6:30-20:30,6:30-20:0,6:30-20:0,6:30-20:0,6:30-20:30,6:30-20:0
MadCap Brew,Kent,OH,4.5,1422 Mogadore Rd,o7B2Vz5VjqS5E1XidQsw2Q,44240,21,16:0-23:0,16:0-0:0,16:0-23:0,16:0-23:0,CLOSED,14:0-0:0,13:0-20:0
Panda Express,Henderson,NV,2.5,1300 Sunset Rd Space,2zPtma1ajsJlrXQak98TlQ,89014,11,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,11:0-18:0
Taco Bell,Las Vegas,NV,3,7060 S Jones Blvd,4UmjnX46qbhV6-D5W89IOQ,89118,56,7:0-3:0,7:0-4:0,7:0-3:0,7:0-3:0,7:0-3:0,7:0-4:0,7:0-3:0
Neveria Chayos,Phoenix,AZ,4.5,2647 W Glendale Ave,TBnB4iIU0pVKkAzN4T8xNg,85051,42,10:0-21:30,10:0-22:0,10:0-21:30,10:0-21:30,10:0-21:30,10:0-22:0,10:0-22:0
Rain of Las Vegas,Las Vegas,NV,4.5,3448 S Decatur Blvd,5PTJ_FzN-tLdt8tZ-vAZFw,89102,32,6:30-16:30,6:30-16:0,6:30-16:30,6:30-16:30,0:0-0:0,8:0-13:0,CLOSED
B.GOOD,Charlotte,NC,3,"400 S Tryon St, Unit  R1",cXHKyZfuaObtVi10hQqLcg,28202,76,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-20:0
Jojo's Jerky,Las Vegas,NV,5,"3310 S Jones Blvd, Ste F-2",5e0XIxlGRu4WfQzozclRaA,89146,44,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,CLOSED,CLOSED
Am-Ko Oriental Foods & Gifts,Champaign,IL,4,101 E Springfield Ave,zPPw_vUatLmvnRpW1OoX6w,61820,28,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-19:0
Bowlology,Las Vegas,NV,4,"5635 Centennial Center Blvd, Ste 110",D7GGjbDErdqlS48Nyilfow,89149,118,8:0-21:0,8:0-21:0,8:0-21:0,8:0-21:0,8:0-21:0,8:0-21:0,9:0-21:0
Hop Farm Brewing Co,Pittsburgh,PA,4.5,5601 Butler St,Bqz24USKl4Rpb2nfGKo1XA,15201,65,16:30-23:0,16:30-0:0,16:30-23:0,CLOSED,CLOSED,12:0-0:0,12:0-18:0
Walgreens,Laveen,AZ,1.5,5115 W Baseline Rd,6MqcSKTUvvKfoMio0VkAqQ,85339,16,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0
Popeyes Louisiana Kitchen,Pittsburgh,PA,2,3420 William Penn Hwy,2cfzQGANxuIGcCUrlwnV7w,15235,29,10:30-23:0,10:30-23:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-23:0,10:30-22:0
The Bagel Cafe,Las Vegas,NV,4,301 N Buffalo Dr,FvVSy2r7_zDEhZWqLgjXNQ,89145,1005,6:30-20:0,6:30-20:0,6:30-17:0,6:30-20:0,6:30-18:0,7:0-17:0,7:0-17:0
Domino's Pizza,Henderson,NV,2.5,"209 S Stephanie St, Ste D",7-orNjFM9FDNIhITbr37wA,89012,33,10:0-0:0,10:0-1:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-1:0,10:0-0:0
Habanero Mexican Food,Mesa,AZ,4,"6555 E Southern Ave, Fl 2, Ste 2006",37n2MtSu1Xe8j1ci8jd-0g,85206,10,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
The Butterwood Bake Consortium,Pittsburgh,PA,4,5222 Butler St,x8WI_GkeGHGJCXggDm8flg,15201,129,12:0-23:0,12:0-23:0,12:0-23:0,CLOSED,CLOSED,10:0-23:0,10:0-21:0
Curry Pot,Las Vegas,NV,3.5,3355 S Las Vegas Blvd,N-L7ISdndWsIWdK0fn29wg,89109,144,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Bosa Donuts,Tempe,AZ,4,37 W Baseline Rd,ZMp18tQQTjloj0pKSdENBw,85283,93,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
B.A. Sweetie Candy,Cleveland,OH,4,6770 Brookpark Rd,2xcnolaD9e6voXJnrbu_Hg,44129,73,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,11:0-17:0
Cedar Land,Charlotte,NC,4,"4832 Central Ave, Ste D",NVJ1rVXyThay6Om-Q2LKJA,28205,39,9:30-22:0,9:30-22:0,9:30-22:0,9:30-22:0,9:30-22:0,9:30-22:0,9:30-22:0
Texas Roadhouse,Phoenix,AZ,3.5,2600 W Happy Valley Rd,mAryfEwdr7Lby2CzmLFbow,85085,153,15:0-22:0,11:0-23:0,15:0-22:0,15:0-22:0,12:0-22:0,11:0-23:0,10:30-23:0
Jimmy John's,Matthews,NC,3,2233 Matthews Township Pkwy,#NAME?,28105,16,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0
Taco Bell,North Las Vegas,NV,2.5,355 W. Centennial Parkway,eNMNXsMjT_PJ5sslcmoYQQ,89031,28,7:0-2:0,7:0-2:0,7:0-1:0,7:0-1:0,7:0-1:0,7:0-2:0,7:0-2:0
Popeyes Louisiana Kitchen,Las Vegas,NV,3,"3717 S Las Vegas Blvd, Ste 206A",86xm0Q8iX5ZjODWMkvwnxA,89109,30,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0
King Kone,Chardon,OH,4.5,10621 Grant St,4iuFGkrZYnWZgOaxNantdw,44024,21,12:0-21:30,12:0-22:0,12:0-21:30,12:0-21:30,12:0-21:30,12:0-22:0,12:0-21:30
Tina's Gourmet Sausage House,Las Vegas,NV,4.5,"2101 S Decatur Blvd, Ste 22",GvSb0uWmBsB58jbzpogciQ,89102,67,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-19:0,9:0-16:0
Showmars - Park Cedar,Charlotte,NC,4.5,9925 Park Cedar Dr,SsJAn_JvZC4cbAg_eHUGpw,28210,30,10:30-21:0,10:30-21:30,10:30-21:0,10:30-21:0,10:30-21:0,10:30-21:30,CLOSED
Walmart Supercenter,Las Vegas,NV,2.5,7200 Arroyo Crossing Pkwy,1u6-Fy87nmWyGlG0VA1jqQ,89113,105,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0
Smoky Jon's No 1 BBQ,Madison,WI,4,2310 Packers Ave,UFyzcr1y2r3y-e_tNpA9VA,53704,224,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,CLOSED,11:0-21:0,11:0-21:0
